_id,Fecha_Emision,Ano_Proceso,Metodo de Pago,Cuotas Permiso,Codigo_SII,Comuna_Propietario,Comuna_Permiso,Valor_Contado,Total_a_Pagar,Ano_Fabricacion,TipoVehiculo,Marca,Modelo,Cilindrada,Equipamiento,Combustible,Transmision,Tonelaje,Comuna_Anterior,Fecha_Vencimiento
91,2026-04-12T00:00:00,2026,ONLINE,Total,SU106001299,RIO IBAÑEZ,RIO IBANEZ,34876,34968,1999,STATION WAGON,HONDA,CR-V 2.0 ABS,2000,Full,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
92,2026-04-06T00:00:00,2026,ONLINE,Total,SD235007195,RIO IBAÑEZ,RIO IBANEZ,34876,34922,1995,AUTOMOVIL,TOYOTA,TERCEL 1.5 LE,1500,Norm,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
93,2026-03-18T00:00:00,2026,PRESENCIAL,Total,CT166004410,RIO IBAÑEZ,RIO IBANEZ,34876,34876,2010,CAMIONETA,MITSUBISHI,L200,2500,Full,Dies,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
94,2026-03-23T00:00:00,2026,PRESENCIAL,Total,SU064000606,RIO IBAÑEZ,RIO IBANEZ,30885,42937,2006,STATION WAGON,DODGE,DURANGO,5000,Full,Benc,Aut,0,RIO IBAÑEZ,2024-03-31T00:00:00
95,2026-03-23T00:00:00,2026,PRESENCIAL,Total,SU064000606,RIO IBAÑEZ,RIO IBANEZ,32333,40650,2006,STATION WAGON,DODGE,DURANGO,5000,Full,Benc,Aut,0,RIO IBAÑEZ,2025-03-31T00:00:00
96,2026-03-23T00:00:00,2026,PRESENCIAL,Total,SU064000606,RIO IBAÑEZ,RIO IBANEZ,33715,37414,2006,STATION WAGON,DODGE,DURANGO,5000,Full,Benc,Aut,0,RIO IBAÑEZ,2026-03-31T00:00:00
97,2026-03-23T00:00:00,2026,PRESENCIAL,Total,SU064000606,RIO IBAÑEZ,RIO IBANEZ,36650,36650,2006,STATION WAGON,DODGE,DURANGO,5000,Full,Benc,Aut,0,RIO IBAÑEZ,2027-03-31T00:00:00
98,2026-04-14T00:00:00,2026,ONLINE,Total,SU176019510,COYHAIQUE,RIO IBANEZ,34876,34945,2010,STATION WAGON,NISSAN,X-TRAIL,2500,Full,Benc,Mec,0,CALERA DE TANGO,2027-03-31T00:00:00
99,2026-03-24T00:00:00,2026,PRESENCIAL,Total,CT166002601,RIO IBAÑEZ,RIO IBANEZ,34876,34876,2001,CAMIONETA,MITSUBISHI,L200,2500,Norm,Diés,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
100,2026-04-21T00:00:00,2026,ONLINE,Total,SU225000197,RIO IBAÑEZ,RIO IBANEZ,34876,35037,1997,STATION WAGON,SSANGYONG,KORANDO,2600,Full,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
101,2026-03-25T00:00:00,2026,PRESENCIAL,Total,CT166005210,RIO IBAÑEZ,RIO IBANEZ,34876,34876,2010,CAMIONETA,MITSUBISHI,L200,2500,Full,Diés,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
102,2026-03-25T00:00:00,2026,PRESENCIAL,Total,CT176002994,RIO IBAÑEZ,RIO IBANEZ,34876,34876,1994,CAMIONETA,NISSAN,KING-CAB SIN VERSION,3000,Norm,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
