id,fecha_emision,ano_proceso,metodo_de_pago,cuotas_permiso,codigo_sii,comuna_propietario,comuna_permiso,valor_contado,total_a_pagar,ano_fabricacion,tipo_vehiculo,marca,modelo,cilindrada,combustible,transmision,comuna_anterior,fecha_vencimiento
65,2026-04-02,2026,ONLINE,Total,CT166001396,RIO IBANEZ,RIO IBANEZ,34876,34891,1996,CAMIONETA,MITSUBISHI,CANTER,2800.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
66,2026-03-31,2026,ONLINE,Total,SU141005509,COLINA,RIO IBANEZ,85347,85347,2009,JEEP,LAND ROVER,DISCOVERY,4000.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
67,2026-04-28,2026,ONLINE,1ra. Cuota,CT050024909,OSORNO,RIO IBANEZ,34876,17546,2009,CAMIONETA,CHEVROLET,LUV,3000.0,DIES,MEC,RIO IBAÑEZ,2026-08-31
68,2026-03-31,2026,ONLINE,Total,HB052016210,COYHAIQUE,RIO IBANEZ,34876,34876,2010,AUTOMOVIL,CITROEN,C3 SX I,1400.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
69,2026-05-26,2026,PRESENCIAL,Total,SIN_CODIGO,RIO IBANEZ,RIO IBANEZ,65967,79639,2009,CAMION,JAC,HCF1042K2T,3625.0,DIES,MEC,RIO IBAÑEZ,2025-09-30
70,2026-05-26,2026,PRESENCIAL,Total,SIN_CODIGO,RIO IBANEZ,RIO IBANEZ,68923,73999,2009,CAMION,JAC,HCF1042K2T,3625.0,DIES,MEC,OTRA,2026-09-30
71,2026-03-24,2026,PRESENCIAL,Total,VN166000795,COYHAIQUE,RIO IBANEZ,34876,34876,1995,STATION WAGON,MITSUBISHI,DELICA 4X4 2.8 AUT,2800.0,DIES,AUT,COYHAIQUE,2027-03-31
72,2026-03-12,2026,ONLINE,Total,CT166004709,COYHAIQUE,RIO IBANEZ,35384,34876,2009,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
73,2026-03-12,2026,ONLINE,Total,CT166004709,COYHAIQUE,RIO IBANEZ,35384,34876,2009,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
74,2026-05-19,2026,ONLINE,Total,CT166001400,RIO IBANEZ,RIO IBANEZ,34876,35569,2000,CAMIONETA,MITSUBISHI,CANTER II 3.6,3600.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
